"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"124","","pfaa/focalboard/server/swagger/docs/html/index.html","3","2734","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"125","","pfaa/focalboard/server/swagger/docs/html/index.html","3","2784","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"126","","pfaa/focalboard/server/swagger/docs/html/index.html","3","2811","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"127","","pfaa/focalboard/server/swagger/docs/html/index.html","3","3133","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"128","","pfaa/focalboard/server/swagger/docs/html/index.html","3","3165","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"129","","pfaa/focalboard/server/swagger/docs/html/index.html","3","3165","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"130","","pfaa/focalboard/server/swagger/docs/html/index.html","3","3230","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"131","","pfaa/focalboard/server/swagger/docs/html/index.html","3","3257","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"132","","pfaa/focalboard/server/swagger/docs/html/index.html","3","3319","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"133","","pfaa/focalboard/server/swagger/docs/html/index.html","3","3656","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"134","","pfaa/focalboard/server/swagger/docs/html/index.html","3","3719","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"135","","pfaa/focalboard/server/swagger/docs/html/index.html","3","4042","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"136","","pfaa/focalboard/server/swagger/docs/html/index.html","3","4042","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"137","","pfaa/focalboard/server/swagger/docs/html/index.html","3","4112","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"138","","pfaa/focalboard/server/swagger/docs/html/index.html","3","4174","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"139","","pfaa/focalboard/server/swagger/docs/html/index.html","3","4520","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"140","","pfaa/focalboard/server/swagger/docs/html/index.html","3","4552","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"141","","pfaa/focalboard/server/swagger/docs/html/index.html","3","4552","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"142","","pfaa/focalboard/server/swagger/docs/html/index.html","3","4601","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"143","","pfaa/focalboard/server/swagger/docs/html/index.html","3","4649","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"144","","pfaa/focalboard/server/swagger/docs/html/index.html","3","4711","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"145","","pfaa/focalboard/server/swagger/docs/html/index.html","3","5042","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"146","","pfaa/focalboard/server/swagger/docs/html/index.html","3","5074","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
