Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/datesr/pfaa/CoolReader/thirdparty/zlib/projects/visualc6,1297,1297,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/zlib/win32,942,942,0,"100,00"
/datesr/pfaa/CoolReader/tinydict,1548,1548,0,"100,00"
/datesr/pfaa/CoolReader/tools,1174,1174,0,"100,00"
/datesr/pfaa/focalboard,2539,2539,0,"100,00"
/datesr/pfaa/focalboard/.github,0,0,0,"0,00"
/datesr/pfaa/focalboard/.github/ISSUE_TEMPLATE,81,81,0,"100,00"
/datesr/pfaa/focalboard/.github/codeql,16,16,0,"100,00"
/datesr/pfaa/focalboard/.github/workflows,712,712,0,"100,00"
/datesr/pfaa/focalboard/.vscode,165,165,0,"100,00"
/datesr/pfaa/focalboard/docker,190,190,0,"100,00"
/datesr/pfaa/focalboard/docker-testing,72,72,0,"100,00"
/datesr/pfaa/focalboard/docs,1096,1096,0,"100,00"
/datesr/pfaa/focalboard/experiments/webext,16228,16228,0,"100,00"
/datesr/pfaa/focalboard/experiments/webext/icons,121,121,0,"100,00"
/datesr/pfaa/focalboard/experiments/webext/src/utils,170,170,0,"100,00"
/datesr/pfaa/focalboard/experiments/webext/src/views,267,267,0,"100,00"
/datesr/pfaa/focalboard/import,11,11,0,"100,00"
/datesr/pfaa/focalboard/import/asana,3479,3479,0,"100,00"
/datesr/pfaa/focalboard/import/asana/.vscode,54,54,0,"100,00"
/datesr/pfaa/focalboard/import/jira,9766,9766,0,"100,00"
/datesr/pfaa/focalboard/import/jira/test,138,138,0,"100,00"
/datesr/pfaa/focalboard/import/nextcloud-deck,4060,4060,0,"100,00"
/datesr/pfaa/focalboard/import/notion,3451,3451,0,"100,00"
/datesr/pfaa/focalboard/import/todoist,3611,3611,0,"100,00"
/datesr/pfaa/focalboard/import/trello,3940,3940,0,"100,00"
/datesr/pfaa/focalboard/import/trello/.vscode,54,54,0,"100,00"
/datesr/pfaa/focalboard/import/util,98,98,0,"100,00"
/datesr/pfaa/focalboard/linux,2469,2469,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp,35829,35829,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/__mocks__,6,6,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/cypress,61,61,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/cypress/integration,695,695,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/cypress/plugins,27,27,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/cypress/support,188,188,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/html-templates,43,43,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/i18n,10393,10393,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src,7933,7933,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/blocks,1124,1124,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/blocks/__snapshots__,322,322,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/boardCloudLimits,11,11,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/boardsCloudLimits,11,11,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components,7976,7976,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/__snapshots__,18338,18338,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor,1151,1151,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/__snapshots__,904,904,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks,103,103,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/attachment,183,183,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/attachment/__snapshots__,57,57,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/checkbox,281,281,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/checkbox/__snapshots__,77,77,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/divider,83,83,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/divider/__snapshots__,11,11,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/h1,169,169,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/h1/__snapshots__,23,23,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/h2,169,169,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/h2/__snapshots__,23,23,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/h3,169,169,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/h3/__snapshots__,23,23,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/image,180,180,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/image/__snapshots__,44,44,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/list-item,161,161,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/list-item/__snapshots__,25,25,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/quote,178,178,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/quote/__snapshots__,33,33,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/text,137,137,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/text-dev,55,55,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/text/__snapshots__,74,74,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/video,176,176,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/blocksEditor/blocks/video/__snapshots__,41,41,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/boardTemplateSelector,1590,1590,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/boardTemplateSelector/__snapshots__,1291,1291,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/boardsSwitcher,200,200,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/boardsSwitcherDialog,231,231,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/boardsSwitcherDialog/__snapshots__,111,111,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/calculations,1256,1256,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/calculations/__snapshots__,370,370,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/calendar,725,725,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/calendar/__snapshots__,9103,9103,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/cardActionsMenu,216,216,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/cardActionsMenu/__snapshots__,368,368,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/cardDetail,3486,3486,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/cardDetail/__snapshots__,3488,3488,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/content,1290,1290,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/content/__snapshots__,305,305,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/content/archivedFile,89,89,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/content/archivedFile/__snapshots__,27,27,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/createCategory,364,364,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/createCategory/__snapshots__,85,85,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/gallery,1232,1232,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/gallery/__snapshots__,1735,1735,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/globalHeader,416,416,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/globalHeader/__snapshots__,1188,1188,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/hiddenCardCount,50,50,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/kanban,2370,2370,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/kanban/__snapshots__,2693,2693,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/kanban/calculation,591,591,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/kanban/calculation/__snapshots__,680,680,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/live-markdown-plugin,283,283,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/live-markdown-plugin/block-types,171,171,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/live-markdown-plugin/inline-styles,299,299,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/live-markdown-plugin/utils,17,17,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/markdownEditorInput,386,386,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/markdownEditorInput/entryComponent,67,67,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/messages,315,315,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour,44,44,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/addComments,138,138,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/addComments/__snapshots__,139,139,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/addDescription,138,138,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/addDescription/__snapshots__,137,137,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/addProperties,198,198,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/addProperties/__snapshots__,127,127,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/addView,132,132,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/addView/__snapshots__,127,127,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/copyLink,133,133,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/copyLink/__snapshots__,139,139,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/manageCategories,69,69,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/openCard,136,136,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/openCard/__snapshots__,79,79,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/searchForBoards,64,64,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/shareBoard,142,142,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/shareBoard/__snapshots__,137,137,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/sidebarCategories,120,120,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/onboardingTour/tourTipRenderer,84,84,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/permissions,137,137,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/permissions/__snapshots__,17,17,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/pulsating_dot,108,108,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/searchDialog,278,278,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/shareBoard,2849,2849,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/shareBoard/__snapshots__,6392,6392,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/sidebar,3526,3526,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/sidebar/__snapshots__,4534,4534,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/table,3168,3168,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/table/__snapshots__,4883,4883,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/table/calculation,245,245,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/table/calculation/__snapshots__,141,141,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/tutorial_tour_tip,1076,1076,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/viewHeader,4276,4276,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/viewHeader/__snapshots__,8218,8218,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/viewLImitDialog,466,466,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/components/viewLImitDialog/__snapshots__,371,371,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/config,11,11,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/fonts/metropolis,1280,1280,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/hooks,158,158,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/insights,16,16,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/onboardingTour,7,7,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/pages,624,624,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/pages/boardPage,727,727,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/pages/welcome,580,580,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/pages/welcome/__snapshots__,115,115,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties,207,207,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/checkbox,40,40,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/createdBy,128,128,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/createdBy/__snapshots__,38,38,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/createdTime,52,52,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/date,934,934,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/date/__snapshots__,118,118,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/email,36,36,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/multiperson,235,235,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/multiperson/__snapshots__,433,433,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/multiselect,438,438,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/multiselect/__snapshots__,22,22,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/number,111,111,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/number/__snapshots__,13,13,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/person,578,578,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/person/__snapshots__,934,934,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/phone,33,33,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/select,313,313,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/select/__snapshots__,41,41,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/text,34,34,0,"100,00"
/datesr/pfaa/focalboard/linux/webapp/src/properties/unknown,13,13,0,"100,00"
